H322: Elastic Net Gradient Penalty
baseline: clean=0.8810 fgsm_asr=0.7610 pgd_asr=0.9240 margin=6.0483
L1only(0.001): clean=0.8810 fgsm_asr=0.7595 pgd_asr=0.9235 margin=5.9661
L1only(0.01): clean=0.8840 fgsm_asr=0.7445 pgd_asr=0.9080 margin=6.0028
L2only(0.01): clean=0.8805 fgsm_asr=0.7810 pgd_asr=0.9255 margin=5.9810
L2only(0.001): clean=0.8820 fgsm_asr=0.7715 pgd_asr=0.9350 margin=6.0858
elastic(L1=0.001,L2=0.01): clean=0.8780 fgsm_asr=0.7455 pgd_asr=0.9135 margin=6.0614
elastic(L1=0.01,L2=0.001): clean=0.8800 fgsm_asr=0.7630 pgd_asr=0.9280 margin=5.9578
elastic(L1=0.01,L2=0.01): clean=0.8790 fgsm_asr=0.7775 pgd_asr=0.9255 margin=5.9905
